外语教学与研究,Foreign Language Teaching and Research  외어학여구,Wai Yu Jiao Xue Yu Yan Jiu
职教论坛,Vocational & Technical Education Forum  직론단,Zhi Jiao Lun Tan
档案学研究,Archives Science Study  안학구,Dang An Xue Yan Jiu
图书馆建设,Library Development  도서관건설,Tu Shu Guan Jian She
情报资料工作,Information and Documentation Services  정보자료공작,Qing Bao Zi Liao Gong Zuo
实验技术与管理,Experimental Technology and Management  실험기술여관리,Shi Yan Ji Shu Yu Guan Li
高教探索,Higher Education Exploration  고탐색,Gao Jiao Tan Suo
情报杂志,Journal  of  Intelligence  정보잡지,Qing Bao Za Zhi
图书馆,Library  도서관,Tu Shu Guan
思想理论教育导刊,Leading Journal of Ideological & Theoretical Education  사상리론육도간,Si Xiang Li Lun Jiao Yu Dao Kan
心理发展与教育,Psychological Development and Education  심리발전여육,Xin Li Fa Zhan Yu Jiao Yu
国家图书馆学刊,Journal of the National Library of China  국가도서관학간,Guo Jia Tu Shu Guan Xue Kan
教师教育研究,Teacher Education Research  사육구,Jiao Shi Jiao Yu Yan Jiu
研究生教育研究,Journal of Graduate Education  구생육구,Jiao Yu Yu Xian Dai Hua
天津师范大学学报（基础教育版）,Journal of Tianjin Normal University(Elementary Education Edition)  천진사범대학학보（기초육판）,Tian Jin Shi Fan Da Xue Xue Bao （ Ji Chu Jiao Yu Ban ）
教育探索,Education Exploration  육탐색,Jiao Yu Tan Suo
教育学报,Journal of Educational Studies  육학보,Jiao Yu Xue Bao
外语教学,Foreign Language Education  외어학,Wai Yu Jiao Xue
现代情报,Modern Information  현대정보,Xian Dai Qing Bao
中国医学教育技术,China Medical Education Technology  중국의학육기술,Zhong Guo Yi Xue Jiao Yu Ji Shu
新闻大学,Journalistic University  신문대학,Xin Wen Da Xue
图书馆学研究,Researches in Library Science  도서관학구,Tu Shu Guan Xue Yan Jiu
上海翻译,Shanghai Journal of Translators  상해역,Shang Hai Fan Yi
体育与科学,Sports & Science  체육여과학,Ti Yu Yu Ke Xue
职业技术教育,Vocational and Technical Education  ,Zhi Ye Ji Shu Jiao Yu
中国体育科技,China Sport Science and Technology  중국체육과기,Zhong Guo Ti Yu Ke Ji
中国考试,China Examinations  중국고시,Zhong Guo Kao Shi
教育发展研究,Research in Educational Development  육발전구,Jiao Yu Fa Zhan Yan Jiu
现代教育管理,Modern Education Management  현대육관리,Xian Dai Jiao Yu Guan Li
教育与经济,Education and Economy  육여경제,Jiao Yu Yu Jing Ji
保健医学研究与实践,Health Medicine Research and Practice  보건의학구여실천,Bao Jian Yi Xue Yan Jiu Yu Shi Jian
图书馆杂志,Library Journal  도서관잡지,Tu Shu Guan Za Zhi
情报学报,Journal of the China Society for Scientific andTechnical Information  정보학보,Qing Bao Xue Bao
教育与职业,Education and Vocation  육여직업,Jiao Yu Yu Zhi Ye
科技进步与对策,Science & Technology Progress and Policy  과기진보여대책,Ke Ji Jin Bu Yu Dui Ce
学位与研究生教育,Academic Degrees & Graduate Education  학위여구생육,Xue Wei Yu Yan Jiu Sheng Jiao Yu
思想政治教育研究,Ideological and Political Education Research  사상정치육구,Si Xiang Zheng Zhi Jiao Yu Yan Jiu
中小学教师培训,The Inservice Education and Training of School teachers  중소학사배훈,Zhong Xiao Xue Jiao Shi Pei Xun
大数据,Big Data Research,Da Shu Ju
外语教学理论与实践,Foreign Language Teaching  외어학리론여실천,Wai Yu Jiao Xue Li Lun Yu Shi Jian
语言文字应用,Applied Linguistics  어언문자응용,Yu Yan Wen Zi Ying Yong
黑龙江高教研究,Heilongjiang Researches on Higher Education  흑룡강고구,Hei Long Jiang Gao Jiao Yan Jiu
软科学,Soft Science  연과학,Ruan Ke Xue
成都体育学院学报,Journal of Chengdu Sport University  성도체육학원학보,Cheng Du Ti Yu Xue Yuan Xue Bao
西安体育学院学报,Journal of Xi'an Institute of Physical Education  서안체육학원학보,Xi An Ti Yu Xue Yuan Xue Bao
中国学校卫生,Chinese Journal of School Health  중국학교위생,Zhong Guo Xue Xiao Wei Sheng
世界汉语教学,Chinese Teaching in the World  세계한어학,Shi Jie Han Yu Jiao Xue
档案学通讯,Archives Science Bulletin,Dang An Xue Tong Xun
教育研究与实验,Educational Research and Experiment,Jiao Yu Yan Jiu Yu Shi Yan
沈阳体育学院学报,Journal of Shenyang Sport University  심양체육학원학보,Shen Yang Ti Yu Xue Yuan Xue Bao
中国教育学刊,Journal of the Chinese Society of Education  중국육학간,Zhong Guo Jiao Yu Xue Kan
风景园林,Landscape Architecture  풍경원림,Feng Jing Yuan Lin
比较教育研究,International and Comparative Education  비교육구,Bi Jiao Jiao Yu Yan Jiu
文化纵横,Beijing Cultural Review  문화종횡,Wen Hua Zong Hang
语文建设,Language Planning  어문건설,Yu Wen Jian She
现代传播,Modern Communication  현대전파,Xian Dai Chuan Bo
基础教育,Journal of Schooling Studies  기초육,Ji Chu Jiao Yu
数据分析与知识发现,Data Analysis and Knowledge Discovery  현대도서정보기술,Xian Dai Tu Shu Qing Bao Ji Shu
农业科技管理,Management of Agriculture Science and Technology  농업과기관리,Nong Ye Ke Ji Guan Li
中国翻译,Chinese Translators Journal,Zhong Guo Fan Yi
语言教学与研究,Language Teaching and Linguistic Studies,Yu Yan Jiao Xue Yu Yan Jiu
湖南师范大学教育科学学报,Journal of Educational Science of Hunan Normal University  호남사범대학육과학학보,Hu Nan Shi Fan Da Xue Jiao Yu Ke Xue Xue Bao
中国高校社会科学,Social Scences in Chinese Higher Education Institutions,Zhong Guo Gao Xiao She Hui Ke Xue
教育科学研究,Educational Science Research  육과학구,Jiao Yu Ke Xue Yan Jiu
开放学习研究,Journal of Beijing Radio and TV University  북경광파전시대학학보,Bei Jing Guang Bo Dian Shi Da Xue Xue Bao
数字教育,Digital Educatiion,Shu Zi Jiao Yu
数字图书馆论坛,Digital Library Forum  수자도서관론단,Shu Zi Tu Shu Guan Lun Tan
当代修辞学,Contemporary rhetoric  당대수사학,Xiu Ci Xue Xi
创新与创业教育,Journal of Innovation and Enterprise Education  창신여창업육,Chuang Xin Yu Chuang Ye Jiao Yu
教育与教学研究,Education and Teaching Research  육여학구,Cheng Dou Da Xue Xue Bao （ Jiao Yu Ke Xue Ban ）
高教发展与评估,Higher Education Development and Evaluation  고발전여평,Gao Jiao Fa Zhan Yu Ping Gu
中国继续医学教育,China Continuing Medical Education  중국계속의학육,Zhong Guo Ji Xu Yi Xue Jiao Yu
中国教育信息化·高教职教,The Chinese Journal of Ict in Education  중국육신식화·고직,Zhong Guo Jiao Yu Xin Xi Hua · Gao Jiao Zhi Jiao
中国环境管理,Environmental conformity Assessment  중국환경관리,Zhong Guo I S O 1 4 0 0 0 Ren Zheng
现代大学教育,Modern University Education  현대대학육,Xian Dai Da Xue Jiao Yu
当代教育论坛,Forum on Contemporary Education  당대육론단,Dang Dai Jiao Yu Lun Tan
中国特殊教育,Chinese Journal of Special Education  중국특수육,Zhong Guo Te Shu Jiao Yu
中小学外语教学（中学）,Foreign Language Teaching in Schools（Middle Version）  ,Zhong Xiao Xue Wai Yu Jiao Xue
编辑之友,Editors' Friend  편집지우,Bian Ji Zhi You
首都体育学院学报,Journal of Capital University of Physical Education and Sports  수도체육학원학보,Shou Du Ti Yu Xue Yuan Xue Bao
天津体育学院学报,Journal of Tianjin University of Sport  천진체육학원학보,Tian Jin Ti Yu Xue Yuan Xue Bao
成人教育,Adult Education  성인육,Cheng Ren Jiao Yu
图书馆理论与实践,Library Theory and Practice  도서관리론여실천,Tu Shu Guan Li Lun Yu Shi Jian
当代传播,Contemporary Communications  당대전파,Dang Dai Chuan Bo
科技管理研究,Science and Technology Management Research  과기관리구,Ke Ji Guan Li Yan Jiu
河北师范大学学报（教育科学版）,Journal of Hebei Normal University(Educational Science Edition)  하북사범대학학보（육과학판）,He Bei Shi Fan Da Xue Xue Bao （ Jiao Yu Ke Xue Ban ）
体育文化导刊,Sports Culture Guide  체육문화도간,Ti Yu Wen Hua Dao Kan
继续教育研究,Continue Education Research  계속육구,Ji Xu Jiao Yu Yan Jiu
外国语,Journal of Foreign Languages  외국어,Wai Guo Yu
红旗文稿,Red Flag Manuscript  홍기문고,Hong Qi Wen Gao
中国校外教育（下旬刊）,China After School Education  중국교외육（리론）,Zhong Guo Xiao Wai Jiao Yu （ Li Lun ）
科学管理研究,Scientific Management Research  과학관리구,Ke Xue Guan Li Yan Jiu
科技与出版,Science-Technology and Publication  과기여출판,Ke Ji Yu Chu Ban
高等建筑教育,Journal of Architectural Education in Institutions of Higher Learning  고등건축육,Gao Deng Jian Zhu Jiao Yu
教学与研究,Teaching and Research  학여구,Jiao Xue Yu Yan Jiu
中国校外教育（中旬刊）,Education for Chinese After-school  중국교외육（기판）,Zhong Guo Xiao Wai Jiao YU （ Ji Jiao Ban ）
河北农业大学学报（农林教育版）,Journal of Agricultural University of Hebei(Agriculture and Forestry Education)  하북농업대학학보（농림육판）,He Bei Nong Ye Da Xue Xue Bao （ Nong Lin Jiao Yu Ban ）
高等农业教育,Higher Agricultural Education  고등농업육,Gao Deng Nong Ye Jiao Yu
高等职业教育探索,Higher Vocational Education Exploration  광주번직업기술학원학보,Fan Yu Zhi Ye Ji Shu Xue Yuan Xue Bao
中国高校科技,Chinese University Science & Technology  중국고교과기여업화,Zhong Guo Gao Xiao Ke Ji Yu Chan Ye Hua
中国校外教育（上旬刊）,China Extracurricular Education  중국교외육（미술）,Zhong Guo Xiao Wai Jiao Yu （ Mei Shu ）
科学决策,Scientific Decision-Making  과학결책,Ke Xue Jue Ce
化工高等教育,Higher Education in Chemical Engineering  화공고등육,Hua Gong Gao Deng Jiao Yu
大学教育科学,University Education Science  대학육과학,Da Xue Jiao Yu Ke Xue
职业教育研究,Vocational Education Research  ,Zhi Ye Jiao Yu Yan Jiu
广州体育学院学报,Journal of Guangzhou Sport University  광주체육학원학보,Guang Zhou Ti Yu Xue Yuan Xue Bao
外国教育研究,Studies in Foreign Education,Wai Guo Jiao Yu Yan Jiu
山东体育学院学报,Journal of Shandong Institute of Physical Education and Sports  산동체육학원학보,Shan Dong Ti Yu Xue Yuan Xue Bao
文学评论,Literary Review,Wen Xue Ping Lun
外语学刊,Foreign Language Research  외어학간,Wai Yu Xue Kan
新世纪图书馆,New Century Library  신세기도서관,Xin Shi Ji Tu Shu Guan
图书馆学刊,Journal of Library Science  도서관학간,Tu Shu Guan Xue Kan
教学研究,Research in Teaching  학구,Jiao Xue Yan Jiu
民族教育研究,Journal of Research on Education for Ethnic Minorities  민족육구,Min Zu Jiao Yu Yan Jiu
大学图书情报学刊,Journal of Academic Library and Information Science  대학도서정보학간,Da Xue Tu Shu Qing Bao Xue Kan
中华医学图书情报杂志,Chinese Journal of Medical Library and Information Science  중화의학도서정보잡지,Zhong Hua Yi Xue Tu Shu Qing Bao Za Zhi
中国语文,Chinese Language,Zhong Guo Yu Wen
终身教育研究,Journal of Jiangsu Radio & Television University  강소광파전시대학학보,Jiang Su Guang Bo Dian Shi Da Xue Xue Bao
