长沙民政职业技术学院学报,Journal of Changsha Social Work College  장사민정직업기술학원학보,Chang Sha Min Zheng Zhi Ye Ji Shu Xue Yuan Xue Bao
逻辑学研究,Studies in Logic  라집학구,Luo Ji Xue Yan Jiu
宁夏党校学报,Journal of Ningxia Communist Party Institute  녕하당교학보,Ning Xia Dang Xiao Xue Bao
上海市社会主义学院学报,Journal of Shanghai Institute of Socialism  상해시사회주의학원학보,Shang Hai Shi She Hui Zhu Yi Xue Yuan Xue Bao
党史博采（理论版）,DANGSHI BOCAI（LILUN BAN）  당사박채（리론판）,Dang Shi Bo Cai （ Li Lun Ban ）
当代韩国,Contemporary Korea  당대한국,Dang Dai Han Guo
陕西行政学院学报,Journal of Shaanxi Administration School  섬서행정학원학보,Shan Xi Xing Zheng Xue Yuan Xue Bao
邓小平研究,Dengxiaoping Research
科学技术哲学研究,Studies in Philosophy of Science and Technology  과학기술철학구,Ke Xue Ji Shu Yu Bian Zheng Fa
世界哲学,World Philosophy  ,Shi Jie Zhe Xue
世界宗教文化,The World Religious Cultures  세계종문화,Shi Jie Zong Jiao Wen Hua
上海人大月刊,SHANGHAI RENDA YUEKAN,Shang Hai Ren Da Yue Kan
江苏警官学院学报,Journal of Jiangsu Police Officer College  강소경관학원학보,Jiang Su Jing Guan Xue Yuan Xue Bao
广西政法管理干部学院学报,Journal of Guangxi Administrative Cadre Institute of Politics and Law  광서정법관리간부학원학보,Guang Xi Zheng Fa Guan Li Gan Bu Xue Yuan Xue Bao
中国机构改革与管理,China institutional Reform and Management  중국기구개혁여관리,Zhong Guo Ji Gou Gai Ge Yu Guan Li
长春市委党校学报,Journal of the Party School of CPC of Changchun Municipal Committee  장춘시위당교학보,Chang Chun Shi Wei Dang Xiao Xue Bao
中共南京市委党校学报,Journal of Nanjing Party Institute of CPC  중공남경시위당교학보,Zhong Gong Nan Jing Shi Wei Dang Xiao Xue Bao
中共郑州市委党校学报,Journal of the Party School of CPC Zhengzhou Municipal Committee  중공정주시위당교학보,Zhong Gong Zheng Zhou Shi Wei Dang Xiao Xue Bao
党的建设,Dang De Jianshe  적건설,Dang De Jian She
中共宁波市委党校学报,Journal of the Party School of CPC Ningbo Municipal Committee  중공녕파시위당교학보,Zhong Gong Ning Bo Shi Wei Dang Xiao Xue Bao
党史研究与教学,DANGSHI YANJIU YU JIAOXUE  당사구여학,Dang Shi Yan Jiu Yu Jiao Xue
南亚东南亚研究,South Asian and Southeast Asian Studies  동남아남아구,Dong Nan Ya
党政干部学刊,Journal for Party and Administrative Cadres  당정간부학간,Dang Zheng Gan Bu Xue Kan
北京政法职业学院学报,Beijing College of Political Science and Law  북경정법직업학원학보,Bei Jing Zheng Fa Zhi Ye Xue Yuan Xue Bao
山东法官培训学院学报,Shandong Judges Training Institute Journal  산동심판,Shan Dong Shen Pan
海峡法学,Cross-Strait Legal Science  해협법학,Hai Xia Fa Xue
贵阳市委党校学报,Journal OF Party School OF Guiyang Committee OF C.P.C  귀양시위당교학보,Gui Yang Shi Wei Dang Xiao Xue Bao
理论学习与探索,Theory Studying and Exploration  리론학습여탐색,Li Lun Xue Xi Yu Tan Suo
铁道警察学院学报,Journal of Railway Police College  철도경관고등전과학교학보,Tie Dao Jing Guan Gao Deng Zhuan Ke Xue Xiao Xue Bao
胜利油田党校学报,Journal of The Party School of Shengli Oilfield  승리유전당교학보,Sheng Li You Tian Dang Xiao Xue Bao
中共石家庄市委党校学报,Journal of the Party University of Shijiazhuang City Committee of CPC  중공석가장시위당교학보,Zhong Gong Shi Jia Zhuang Shi Wei Dang Xiao Xue Bao
南洋资料译丛,Southeast Asian Studies  남양자료역총,Nan Yang Zi Liao Yi Cong
兵团党校学报,Journal of the Party School of XPCC of C.P.C  병단당교학보,Bing Tuan Dang Xiao Xue Bao
美与时代（上旬刊）,Beauty & Times  미여시대（상순간）,Mei Yu Shi Dai （ Shang Ban Yue ）
福州党校学报,Journal of the Party School of Fuzhou  복주당교학보,Fu Zhou Dang Xiao Xue Bao
哈尔滨市委党校学报,The Journal of Harbin Committee School of The CCP  합이빈시위당교학보,Ha Er Bin Shi Wei Dang Xiao Xue Bao
福建省社会主义学院学报,Journal of Fujian Institute of Socialism  복건성사회주의학원학보,Fu Jian Sheng She Hui Zhu Yi Xue Yuan Xue Bao
湖南警察学院学报,Journal of Hunan Public Academy  호남경찰학원학보,Hu Nan Gong An Gao Deng Zhuan Ke Xue Xiao Xue Bao
上海公安高等专科学校学报（公安理论与实践）,Journal of Shanghai Public College  상해공안고등전과학교학보（공안리론여실천）,Shang Hai Gong An Gao Deng Zhuan Ke Xue Xiao Xue Bao （ Gong An Li Lun Yu Shi Jian ）
武汉公安干部学院学报,Journal of Wuhan Public Security Cadre's College  무한공안간부학원학보,Wu Han Gong An Gan Bu Xue Yuan Xue Bao
桂海论丛,Guihai Tribune  계해론총,Gui Hai Lun Cong
哲学分析,Zhexue Fenxi  철학분석,Zhe Xue Fen Xi
河北青年管理干部学院学报,Journal of Hebei Youth Administrative Cadres College  하북년관리간부학원학보,He Bei Qing Nian Guan Li Gan Bu Xue Yuan Xue Bao
校园心理,Campus Life & Mental Health  교원심리,Xiao Yuan Xin Li
广东省社会主义学院学报,Journal of Guangdong Institute of Socialism  광동성사회주의학원학보,Guang Dong Sheng She Hui Zhu Yi Xue Yuan Xue Bao
河北省社会主义学院学报,Journal of Hebei Socialist College  하북성사회주의학원학보,He Bei Sheng She Hui Zhu Yi Xue Yuan Xue Bao
中共南宁市委党校学报,Journal of The Nanning Municipal Party College of C.P.C  중공남녕시위당교학보,Zhong Gong Nan Ning Shi Wei Dang Xiao Xue Bao
