重庆邮电大学学报（社会科学版）,Journal of Chongqing University of Posts and Telecommunications (Social Science Edition)  중경우전대학학보（사회과학판）,Chong Qing You Dian Da Xue Xue Bao （ She Hui Ke Xue Ban ）
西北人口,Northwest Population Journal  서북인구,Xi Bei Ren Kou
西南大学学报（社会科学版）,Journal of Southwest University (Social Sciences Edition)  서남대학학보（사회과학판）,Xi Nan Da Xue Xue Bao （ She Hui Ke Xue Ban ）
重庆大学学报（社会科学版）,Journal of Chongqing University (Social Science Edition)  중경대학학보（사회과학판）,Chong Qing Da Xue Xue Bao （ She Hui Ke Xue Ban ）
统计与信息论坛,Statistics & Information Forum  통계여신식론단,Tong Ji Yu Xin Xi Lun Tan
世界地理研究,World Regional Studies  세계지리구,Shi Jie Di Li Yan Jiu
社会科学研究,Social Science Research  사회과학구,She Hui Ke Xue Yan Jiu
北京交通大学学报（社会科学版）,Journal of Beijing Jiaotong University (Social Sciences Edition)  북경교통대학학보（사회과학판）,Bei Jing Jiao Tong Da Xue Xue Bao （ She Hui Ke Xue Ban ）
贵州社会科学,Guizhou Social Sciences  귀주사회과학,Gui Zhou She Hui Ke Xue
大连理工大学学报（社会科学版）,Journal of Dalian University of Technology (social sciences)  대련리공대학학보（사회과학판）,Da Lian Li Gong Da Xue Xue Bao （ She Hui Ke Xue Ban ）
学术论坛,Academic Forum  학술론단,Xue Shu Lun Tan
理论学刊,Theory Journal  리론학간,Li Lun Xue Kan
河南师范大学学报（哲学社会科学版）,Journal of Henan Normal University (Philosophy and Social Sciences)  하남사범대학학보（철학사회과학판）,He Nan Shi Fan Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
河海大学学报（哲学社会科学版）,Journal of Hohai University (Philosophy and social sciences)  하해대학학보（철학사회과학판）,He Hai Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
昆明理工大学学报（社会科学版）,"Journal of Kunming University of Science and Technology(Social Sciences Edition
)  곤명리공대학학보（사회과학판）",Kun Ming Li Gong Da Xue Xue Bao （ She Hui Ke Xue Ban ）
太平洋学报,Pacific Journal  태평양학보,Tai Ping Yang Xue Bao
青年研究,Youth Studies  년구,Qing Nian Yan Jiu
沈阳建筑大学学报（社会科学版）,Journal of Shenyang Jianzhu University Social Science  심양건축대학학보（사회과학판）,Shen Yang Jian Zhu Da Xue Xue Bao （ She Hui Ke Xue Ban ）
河北大学学报（哲学社会科学版）,Journal of Hebei University (Philosophy and Social Science)  하북대학학보（철학사회과학판）,He Bei Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
华南师范大学学报（社会科学版）,Journal of South China Normal University (Social Science Edition)  화남사범대학학보（사회과학판）,Hua Nan Shi Fan Da Xue Xue Bao （ She Hui Ke Xue Ban ）
吉林大学社会科学学报,Jilin University Journal Social Science Edition,Ji Lin Da Xue She Hui Ke Xue Xue Bao
考古学报,Acta Archaeologica Sinica,Kao Gu Xue Bao
山东社会科学,Shandong Social Science  산동사회과학,Shan Dong She Hui Ke Xue
中州学刊,Academic Journal of Zhongzhou  중주학간,Zhong Zhou Xue Kan
思想战线,Thinking  사상전선,Si Xiang Zhan Xian
民族研究,Ethno-National Studies  민족구,Min Zu Yan Jiu
清史研究,The Qing History Journal  사구,Qing Shi Yan Jiu
欧洲研究,Chinese Journal of European Studies,Ou Zhou Yan Jiu
北京理工大学学报（社会科学版）,Journal of Beijing Institute of Technology (Social Sciences Edition)  북경리공대학학보（사회과학판）,Bei Jing Li Gong Da Xue Xue Bao （ She Hui Ke Xue Ban ）
东南亚研究,Southeast Asian Studies  동남아구,Dong Nan Ya Yan Jiu
同济大学学报（社会科学版）,Journal of Tongji University (Social Science Section）  동제대학학보（사회과학판）,Tong Ji Da Xue Xue Bao （ She Hui Ke Xue Ban ）
东北师大学报（哲学社会科学版）,Journal of Northeast Normal University (Philosophy and Social Sciences)  동북사대학보（철학사회과학판）,Dong Bei Shi Da Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
浙江工商大学学报,Journal of Zhejiang Gongshang University  절강공상대학학보,Zhe Jiang Gong Shang Da Xue Xue Bao
四川大学学报（哲学社会科学版）,Journal of Sichuan University (Social Science Edition)  사천대학학보（철학사회과학판）,Si Chuan Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
东北大学学报（社会科学版）,Journal of Northeastern University (Social Science)  동북대학학보（사회과학판）,Dong Bei Da Xue Xue Bao （ She Hui Ke Xue Ban ）
历史研究,Historical Research,Li Shi Yan Jiu
北京邮电大学学报（社会科学版）,Journal of Beijing University of Posts and Telecommunications (Social Sciences Edition)  북경우전대학학보（사회과학판）,Bei Jing You Dian Da Xue Xue Bao （ She Hui Ke Xue Ban ）
中国大学生就业（综合版）,China University Students Career Guide  중국대학생취업,Zhong Guo Da Xue Sheng Jiu Ye
青年探索,Youth Exploration  년탐색,Qing Nian Tan Suo
江苏社会科学,Jiangsu Social Sciences  강소사회과학,Jiang Su She Hui Ke Xue
浙江大学学报（人文社会科学版）,Journal of Zhejiang University (Humanities and Social Sciences)  절강대학학보（인문사회과학판）,Zhe Jiang Da Xue Xue Bao （ Ren Wen She Hui Ke Xue Ban ）
学术月刊,Academic Monthly,Xue Shu Yue Kan
广东社会科学,Social Sciences In Guangdong  광동사회과학,Guang Dong She Hui Ke Xue
陕西师范大学学报（哲学社会科学版）,Journal of Shaanxi Normal University (Philosophy and Social Sciences Edition）  섬서사범대학학보（철학사회과학판）,Shan Xi Shi Fan Da Xue Xue Bao （ Zhe Xue She Hui Ke Xue Ban ）
考古,Archaeology,Kao Gu
日本学刊,Japanese Studies  일본학간,Ri Ben Xue Kan
新视野,Expanding Horizons  신시야,Xin Shi Ye
西北师大学报（社会科学版）,Journal of Northwest Normal University (Social Sciences）  서북사대학보（사회과학판）,Xi Bei Shi Da Xue Bao （ She Hui Ke Xue Ban ）
人民论坛·学术前沿,Renming Luntan·Xueshu Qianyan
社会学评论,Sociological Review of China,She Hui Xue Ping Lun
南京医科大学学报（社会科学版）,Journal of Nanjing Medical University(Social Sciences)  남경의과대학학보（사회과학판）,Nan Jing Yi Ke Da Xue Xue Bao （ She Hui Ke Xue Ban ）
中南民族大学学报（人文社会科学版）,Journal of South-Central University for Nationalities (Humanities and Social Sciences)  중남민족대학학보（인문사회과학판）,Zhong Nan Min Zu Da Xue Xue Bao （ Ren Wen She Hui Ke Xue Ban ）
上海大学学报（社会科学版）,Journal of Shanghai University (Social Science Edition）  상해대학학보（사회과학판）,Shang Hai Da Xue Xue Bao （ She Hui Ke Xue Ban ）
