延边大学学报（自然科学版）,Journal of Yanbian University(Natural Science)  연변대학학보（자연과학판）,Yan Bian Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
地理教育,Education of Geography  지리육,Di Li Jiao Yu
系统科学与复杂性学报（英文版）,Journal of Systems Science and Complexity,Xi Tong Ke Xue Yu Fu Za Xing Xue Bao （ Ying Wen Ban ）
纯粹数学与应用数学,Pure and Applied Mathematics  순수수학여응용수학,Chun Cui Shu Xue Yu Ying Yong Shu Xue
合成化学,Chinese Journal of Synthetic Chemistry  합성화학,He Cheng Hua Xue
计算数学（英文版）,Journal of Computational Mathematics,Ji Suan Shu Xue （ Ying Wen Ban ）
地质装备,Equipment for Geotechnical Engineering  지질장비,Di Zhi Zhuang Bei
工程数学学报,Chinese Journal of Engineering Mathematics  공정수학학보,Gong Cheng Shu Xue Xue Bao
武汉纺织大学学报,Journal of Wuhan Textile University  무한방직대학학보,Wu Han Ke Ji Xue Yuan Xue Bao
量子光学学报,Acta Sinica Quantum Optica  량자광학학보,Liang Zi Guang Xue Xue Bao
扬州大学学报（自然科学版）,Journal of Yangzhou University(Natural Science Edition)  양주대학학보（자연과학판）,Yang Zhou Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
安徽理工大学学报（自然科学版）,Journal of Anhui University of Science and Technology(Natural Science)  안휘리공대학학보（자연과학판）,An Hui Li Gong Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
厦门科技,Xiamen Science & Technology  하문과기,Xia Men Ke Ji
应用数学学报,Acta Mathematicae Applicatae Sinica  응용수학학보,Ying Yong Shu Xue Xue Bao
河北省科学院学报,Journal of the Hebei Academy of Sciences  하북성과학원학보,He Bei Sheng Ke Xue Yuan Xue Bao
运筹学学报,Operations Research Transactions  운주학학보,Yun Chou Xue Xue Bao
中学生物学,Middle School Biology  중학생물학,Zhong Xue Sheng Wu Xue
四川地震,Earthquake Research in Sichuan  사천지진,Si Chuan Di Zhen
数学教学通讯,SHUXUE JIAOXUE TONGXUN,Shu Xue Jiao Xue Tong Xun
云南科技管理,YUNNAN KEJI GUANLI  운남과기관리,Yun Nan Ke Ji Guan Li
中国科学（数学）,Science in China(Series A)  중국과학（수학）,Zhong Guo Ke Xue A Ji
哈尔滨师范大学自然科学学报,Natural Science Journal of Harbin Normal University  합이빈사범대학자연과학학보,Ha Er Bin Shi Fan Da Xue Zi Ran Ke Xue Xue Bao
河北师范大学学报（自然科学版）,Journal of Hebei Normal University(Natural Science Edition)  하북사범대학학보（자연과학판）,He Bei Shi Fan Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
佳木斯大学学报（自然科学版）,Journal of Jiamusi University(Natural Science Edition)  가목사대학학보（자연과학판）,Jia Mu Si Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
辽宁科技大学学报,Journal of University of Science and Technology Liaoning  료녕과기대학학보,Liao Ning Ke Ji Da Xue Xue Bao
厦门理工学院学报,Journal of Lujiang University  하문리공학원학보,Xia Men Li Gong Xue Yuan Xue Bao
宝鸡文理学院学报（自然科学版）,Journal of Baoji University of Arts and Sciences(Natural Science Edition)  보문리학원학보（자연과학판）,Bao Ji Wen Li Xue Yuan Xue Bao （ Zi Ran Ke Xue Ban ）
自然科学史研究,Studies in the History of Natural Sciences  자연과학사구,Zi Ran Ke Xue Shi Yan Jiu
合肥学院学报（综合版）,Journal of Hefei University  합비학원학보（자연과학판）,He Fei Xue Yuan Xue Bao （ Zi Ran Ke Xue Ban ）
荆楚理工学院学报,Journal of Jingchu University of Technology  형초리공학원학보,Jing Men Zhi Ye Ji Shu Xue Yuan Xue Bao
青海国土经略,QINGHAI GUOTU JINGLUE  해국토경략,Qing Hai Guo Tu Jing Lue
高校应用数学学报B辑（英文版）,Applied Mathematics A Journal of Chinese Universities，B  고교응용수학학보B집,Gao Xiao Ying Yong Shu Xue Xue Bao B Ji
数学物理学报（英文版）,Acta Mathematica Scientia  수학물리학보（영문판）,Shu Xue Wu Li Xue Bao （ Ying Wen Ban ）
新乡学院学报,Journal of Xinxiang University  신학원학보（자연과학판）,Xin Xiang Xue Yuan Xue Bao （ Zi Ran Ke Xue Bao ）
浙江国土资源,Zhejinag Land & Resources  절강국토자원,Zhe Jiang Guo Tu Zi Yuan
伊犁师范学院学报（自然科学版）,Journal of Ili Normal University(Natural Science Edition)  이리사범학원학보（자연과학판）,Yi Li Shi Fan Xue Yuan Xue Bao （Zi Ran Ke Xue Ban）
数学杂志,Journal of Mathematics  수학잡지,Shu Xue Za Zhi
汕头大学学报（自然科学版）,Journal of Shantou University(Natural Science Edition)  산두대학학보（자연과학판）,Shan Tou Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
中学数学杂志（初中版）,ZHONGXUE SHUXUE ZAZHI(CHUZHONG BAN)  중학수학잡지（초중판）,Zhong Xue Shu Xue Za Zhi （ Chu Zhong Ban ）
牡丹江大学学报,Journal of Mudanjiang University,Mu Dan Jiang Da Xue Xue Bao
地球空间信息科学学报（英文版）,Geospatial Information Science  지구공간신식과학학보（영문판）,Di Qiu Kong Jian Xin Xi Ke Xue Xue Bao （ Ying Wen Ban ）
常熟理工学院学报,Journal of Changshu Institute of Technology  상숙리공학원학보,Chang Shu Li Gong Xue Yuan Xue Bao
世界地质（英文版）,Global Geology  세계지질（영문판）,Shi Jie Di Zhi （ Ying Wen Ban ）
福建地质,Geology of Fujian  복건지질,Fu Jian Di Zhi
数学年刊A辑,"Chinese Annals of Mathematics,Series A  수학년간A집",Shu Xue Nian Kan A Ji
海洋通报（英文版）,Marine Science Bulletin  해양통보（영문판）,Hai Yang Tong Bao （ Ying Wen Ban ）
力学快报（英文）,Theoretical & Applied Mechanics Letters,Li Xue Kuai Bao （Ying Wen Ban ）
太原师范学院学报（自然科学版）,Journal of Taiyuan Normal University(Natural Science Edition)  태원사범학원학보（자연과학판）,Tai Yuan Shi Fan Xue Yuan Xue Bao （ Zi Ran Ke Xue Ban ）
求知导刊,Journal of Seeking Knowledge Guide,Qiu Zhi Dao Kan
吉林地质,Jilin Geology  길림지질,Ji Lin Di Zhi
数学教学研究,Research of Mathematic Teaching-Learning  수학학구,Shu Xue Jiao Xue Yan Jiu
集美大学学报（自然科学版）,Journal of Jimei University(Natural Science)  집미대학학보（자연과학판）,Ji Mei Da Xue Xue Bao （ Zi Ran Ke Xue Ban ）
科技中国,Science and Technology in China,Ke Ji Zhong Guo
动物分类学报,Acta Zootaxonomica Sinica  동물분류학보,Dong Wu Fen Lei Xue Bao
高技术通讯（英文版）,High Technology Letters  고기술통신（영문판）,Gao Ji Shu Tong Xun （ Ying Wen Ban ）
数学进展,Advances in Mathematics(China)  수학진전,Shu Xue Jin Zhan
黑龙江气象,Heilongjiang Meteorology  흑룡강기상,Hei Long Jiang Qi Xiang
地球化学学报（英文版）,Acta Geochimica  중국지구화학학보（영문판）,Zhong Guo Di Qiu Hua Xue Xue Bao （ Ying Wen Ban ）
中学数学月刊,The Monthly Journal of High School Mathematics  중학수학월간,Zhong Xue Shu Xue Yue Kan
蛛形学报,Acta Arachnologica Sinica  주형학보,Zhu Xing Xue Bao
古脊椎动物学报,Vertebrata Palasiatica  고척추동물학보,Gu Ji Zhui Dong Wu Xue Bao
自然科学进展·国际材料（英文）,Progress in Natural Science：Materials International  자연과학진전（영문판）,Zi Ran Ke Xue Jin Zhan （ Ying Wen Ban ）
中学数学研究,Studies in Middle School Math Guangdong  중학수학구,Zhong Xue Shu Xue Yan Jiu
数学研究通讯,Communications in Mathematical Research  수학구통신,Dong Bei Shu Xue （ Ying Wen Ban ）
国际生物制品学杂志,International Journal of Biologicals  국제생물제품학잡지,Guo Ji Sheng Wu Zhi Pin Xue Za Zhi
南方国土资源,NanFang GuoTu ZiYuan  남방국토자원,Nan Fang Guo Tu Zi Yuan
高等学校计算数学学报,Numerical Mathematics A Journal of Chinese Universities  고등학교계산수학학보,Gao Deng Xue Xiao Ji Suan Shu Xue Xue Bao
物探装备,Equipment for Geophysical Prospecting  물탐장비,Wu Tan Zhuang Bei
现代物理知识,Modern Physics,Xian Dai Wu Li Zhi Shi
中国数学前沿,Frontiers of Mathematics in China,Zhong Guo Shu Xue Qian Yan
天文和天体物理学研究,Research in Astronomy and Astrophysics  천문화천체물리학구,Tian Wen He Tian Ti Wu Li Xue Yan Jiu
数学学报,Acta Mathematica Sinica  수학학보,Shu Xue Xue Bao
摩擦（英文）,Mo Ca （Ying Wen Ban）
福建中学数学,FUJIAN ZHONGXUE SHUXUE,Fu Jian Zhong Xue Shu Xue
高原地震,Plateau Earthquake Research  고원지진,Gao Yuan Di Zhen
安徽科技,Anhui Science & Technology  안휘과기,An Hui Ke Ji
化石,Fossils  화석,Hua Shi
高等学校计算数学学报（英文版）,"Numerical Mathematics Theory, Methods and Applications  고등학교계산수학학보（영문판）",Gao Deng Xue Xiao Ji Suan Shu Xue Xue Bao （ Ying Wen Ban ）
低温物理学报,Chinese Journal of Low Temperature Physics  저온물리학보,Di Wen Wu Li Xue Bao
云南地质,Yunnan Geology  운남지질,Yun Nan Di Zhi
原子核物理评论,Nuclear Physics Review  원자핵물리평론,Yuan Zi He Wu Li Ping Lun
应用数学与计算数学学报,Communication on applied mathematics and computation  응용수학여계산수학학보,Ying Yong Shu Xue Yu Ji Suan Shu Xue Xue Bao
中等数学,High-School Mathematics  중등수학,Zhong Deng Shu Xue
中学数学杂志（高中版）,Zhongxue Shuxue Zazhe(Gaozhong Ban)  중학수학잡지（고중판）,Zhong Xue Shu Xue Za Zhi （ Gao Zhong Ban ）
上海中学数学,School Mathematics in Shanghai  상해중학수학,Shang Hai Zhong Xue Shu Xue
科技创新与品牌,Sci-tech Innovations and Brands,Ke Ji Chuang Xin Yu Pin Pai
科学文化评论,Science & Culture Review  과학문화평론,Ke Xue Wen Hua Ping Lun
生物物理学报,Acta Biophysica Sinica  생물물리학보,Sheng Wu Wu Li Xue Bao
中学数学教学,Middle School Mathematics Teaching  중학수학학,Zhong Xue Shu Xue Jiao Xue
数学研究及应用,Journal of Mathematical Research with Applications  수학구여평론,Shu Xue Yan Jiu Yu Ping Lun
国际地震动态,Recent Developments in World Seismology  국제지진동태,Guo Ji Di Zhen Dong Tai
北京理工大学学报（英文版）,Journal of Beijing Institute of Technology  북경리공대학학보（영문판）,Bei Jing Li Gong Da Xue Xue Bao （ Ying Wen Ban ）
鸟类学研究（英文版）,Avian Research  중국조류,Zhong Guo Niao Lei
科学与信息化,Kexue yu Xinxihua,Ke Xue Yu Xin Xi Hua
数学学报（英文版）,Acta Mathematica Sinica,Shu Xue Xue Bao （ Ying Wen Ban ）
科学教育与博物馆,Science Education and Museums,Ke Xue Jiao Yu Yu Bo Wu Guan
